job_id,job_title,company,job_description
11,"Financial Analyst","Awash Bank","Awash Bank is hiring Financial Analyst for corporate finance team. Requirements: BCom or MSc in Finance/Accounting, CPA preferred. 5+ years experience in financial modeling, budgeting, forecasting. Expert in Excel, SQL, and financial reporting. Knowledge of banking regulations and IFRS standards. Strong analytical and presentation skills. Will support strategic decision-making. Competitive banking compensation."
12,"Civil Engineer - Construction","China State Construction Engineering Corporation (Ethiopia)","CSCEC Ethiopia branch needs Civil Engineer for infrastructure projects. Requirements: BSc in Civil Engineering, 5+ years in construction, road, or bridge projects. Proficient in AutoCAD, Revit, and structural analysis software. Knowledge of Ethiopian Building Code Standards (EBCS) required. Strong project management and site supervision experience. Ability to work on-site in various Ethiopian regions. Chinese language skills are a plus."
13,"AI Research Scientist","iCog Labs","iCog Labs seeks AI Research Scientist for cutting-edge NLP and computer vision projects. Requirements: MSc or PhD in AI/ML/Computer Science. Strong publication record. Expert in TensorFlow, PyTorch, deep learning architectures. Experience with low-resource languages (Amharic, Afan Oromo) highly valued. Will work on Ethiopian language AI and computer vision for local applications. Opportunity to publish and attend conferences."
14,"Cybersecurity Specialist","Commercial Bank of Ethiopia","CBE needs Cybersecurity Specialist to protect banking infrastructure. Requirements: CEH, CISSP, or Security+ certification. 5+ years in cybersecurity, penetration testing, incident response. Experience with SIEM tools, firewalls, IDS/IPS. Knowledge of banking security standards and PCI-DSS. Will conduct security audits and vulnerability assessments. Must maintain confidentiality. Top-tier banking salary."
15,"Senior Business Analyst","Lion International Bank","Lion Bank seeks Senior Business Analyst for digital transformation projects. Requirements: 6+ years experience in business analysis, requirements gathering, process improvement. Expert in SQL, Tableau, Power BI. Banking or fintech experience strongly preferred. Strong stakeholder management and communication skills. Will bridge gap between business and IT teams. MBA is a plus. Competitive compensation package."
16,"Cloud DevOps Engineer","Gebeya Inc","Pan-African tech company Gebeya needs DevOps Engineer. Requirements: 3+ years with AWS or Azure, Docker, Kubernetes, CI/CD pipelines (Jenkins/GitLab). Infrastructure as code experience (Terraform, CloudFormation). Strong scripting skills (Python, Bash). Experience with microservices architecture. Will manage cloud infrastructure for EdTech platform. Remote work possible. 90,000-140,000 ETB/month."
17,"UX Designer","M-Birr (MobiCash)","M-Birr seeks UX Designer for mobile money platform improvements. Requirements: 3+ years UX/UI design experience. Expert in Figma, Adobe XD, user research, and usability testing. Portfolio showing mobile app design required. Understanding of Ethiopian mobile money market and user behavior essential. Will design features used by millions. Strong collaboration skills with developers. 50,000-80,000 ETB/month."
18,"Sales Director - Pharmaceuticals","Cadila Pharmaceuticals Ethiopia","Cadila Pharmaceuticals needs Sales Director to lead Ethiopian operations. Requirements: 10+ years in pharmaceutical or healthcare sales, 5+ years in management. Proven track record of achieving sales targets. Strong knowledge of Ethiopian pharmaceutical market and regulations. Excellent relationship-building skills with hospitals, pharmacies, and distributors. MBA preferred. Car allowance and performance bonuses. 150,000+ ETB/month."
19,"Registered Nurse - Emergency Department","St. Paul's Hospital Millennium Medical College","St. Paul's Hospital needs experienced Registered Nurse for Emergency Department. Requirements: BSc in Nursing, valid Ethiopian nursing license, 5+ years clinical experience. Emergency care and trauma experience essential. BLS and ACLS certification required. Strong patient assessment and triage skills. Ability to work night shifts and weekends. Fluent in Amharic and English. Competitive hospital salary and benefits."
20,"Renewable Energy Engineer","Solar Energy Foundation Ethiopia","SEF Ethiopia seeks Renewable Energy Engineer for solar project implementation. Requirements: BSc in Electrical Engineering, 4+ years experience with solar PV systems, battery storage, and grid integration. Experience with AutoCAD Electrical, PVsyst, and solar design software. Knowledge of Ethiopian energy regulations. Will design and supervise solar installations for rural electrification. Fieldwork required. Passion for sustainable development. 60,000-95,000 ETB/month."
